yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1885,AA,BR3,LAD,,5,112,,53,59,,,N,N,Brooklyn Grays,Washington Park I,
1885,NL,BSN,ATL,,5,113,,46,66,,,N,N,Boston Beaneaters,South End Grounds I,
1885,NL,CHN,CHC,,1,113,,87,25,,,Y,N,Chicago White Stockings,West Side Park I,
1885,AA,CN2,CIN,,2,112,,63,49,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1885,NL,DTN,DTN,,6,108,,41,67,,,N,N,Detroit Wolverines,Recreation Park,
1885,AA,LS2,LOU,,6,112,,53,59,,,N,N,Louisville Colonels,Eclipse Park I,
1885,NL,NY1,SFG,,2,112,,85,27,,,N,N,New York Giants,Polo Grounds I,
1885,AA,NY4,NYP,,7,108,,44,64,,,N,N,New York Metropolitans,Polo Grounds I West Diamond,
1885,AA,PH4,PHA,,4,113,,55,57,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1885,NL,PHI,PHI,,3,111,,56,54,,,N,N,Philadelphia Quakers,Recreation Park,
1885,NL,PRO,PRO,,4,110,,53,57,,,N,N,Providence Grays,Messer Street Grounds,
1885,AA,PT1,PIT,,3,111,,56,55,,,N,N,Pittsburg Alleghenys,Recreation Park,
1885,AA,SL4,STL,,1,112,,79,33,,,Y,N,St. Louis Browns,Sportsman's Park I,
1885,NL,SL5,SLM,,8,111,,36,72,,,N,N,St. Louis Maroons,Sportsman's Park I,
1886,AA,BL2,BLO,,8,139,,48,83,,,N,N,Baltimore Orioles,Oriole Park,
1886,AA,BR3,LAD,,3,141,,76,61,,,N,N,Brooklyn Grays,Washington Park I,
1886,NL,BSN,ATL,,5,118,,56,61,,,N,N,Boston Beaneaters,South End Grounds I,
1886,NL,CHN,CHC,,1,126,,90,34,,,Y,N,Chicago White Stockings,West Side Park I,
1886,AA,CN2,CIN,,5,141,,65,73,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1886,NL,DTN,DTN,,2,126,,87,36,,,N,N,Detroit Wolverines,Recreation Park,
1886,NL,KCN,KCN,,7,126,,30,91,,,N,N,Kansas City Cowboys,Association Park,
1886,AA,LS2,LOU,,4,138,,66,70,,,N,N,Louisville Colonels,Eclipse Park I,
