coa_id,bu_id,source_id,segment1_id,segment2_id,user_listing_id,approved_by_id,year_flag,period_flag,ey_period,sys_man_ind,journal_type,functional_curr_cd,reporting_curr_cd,source_type,net_reporting_amount,net_reporting_amount_credit,net_reporting_amount_debit,net_functional_amount,net_functional_amount_credit,net_functional_amount_debit
1754,5,33,30,26,22,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-3,3,0
1732,6,3,31,27,8,0,PY ,PIP,2013-001,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.62,1382.62,0
1732,6,3,31,27,21,0,PY ,PIP,2013-004,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1734,3,3,30,26,13,0,CY ,IP ,2014-001,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1734,3,3,30,26,13,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1734,3,3,30,26,13,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1737,8,1,32,28,27,0,CY ,IP ,2014-005,M,Manual,RON,EY_NA,Activity,0,0,0,8054.82,0,8054.82
1737,8,14,32,28,27,0,CY ,IP ,2014-005,M,Manual,RON,EY_NA,Activity,0,0,0,3925.8,0,3925.8
1741,6,14,31,27,21,0,PY ,PIP,2013-001,M,Manual,MYR,EY_NA,Activity,0,0,0,750,0,750
1745,5,3,30,26,13,0,CY ,IP ,2014-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.91,242.91,0
1745,5,3,30,26,13,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1745,5,3,30,26,13,0,CY ,IP ,2014-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.91,242.91,0
1745,5,3,30,26,13,0,PY ,PIP,2013-001,M,Manual,EUR,EY_NA,Activity,0,0,0,-191.44,191.44,0
1745,5,3,30,26,13,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-191.44,191.44,0
1745,5,3,30,26,13,0,PY ,PIP,2013-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1745,5,3,30,26,13,0,PY ,PRP,2013-009,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
