transaction_type_id,transaction_type_cd,bu_id,engagement_id,transaction_type_desc,transaction_type_group_desc,EY_transaction_type,entry_by_id,entry_date_id,entry_time_id,last_modified_by_id,last_modified_date_id,ver_start_date_id,ver_end_date_id,ver_desc,transaction_type_ref
14,14,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,14 - 
15,15,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Cash,0,19000101,0,0,19000101,20141115,NULL,20141115,15 - 
16,16,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,16 - 
17,17,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,17 - 
18,18,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,18 - 
19,19,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,19 - 
20,21,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Credit Note,0,19000101,0,0,19000101,20141115,NULL,20141115,21 - 
21,22,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Invoice,0,19000101,0,0,19000101,20141115,NULL,20141115,22 - 
22,24,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,24 - 
23,25,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Cash,0,19000101,0,0,19000101,20141115,NULL,20141115,25 - 
24,26,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,26 - 
25,27,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,27 - 
26,28,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,28 - 
27,29,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,29 - 
28,31,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Invoice,0,19000101,0,0,19000101,20141115,NULL,20141115,31 - 
29,32,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Credit Note,0,19000101,0,0,19000101,20141115,NULL,20141115,32 - 
30,34,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,34 - 
31,35,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Cash,0,19000101,0,0,19000101,20141115,NULL,20141115,35 - 
32,36,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,36 - 
33,37,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,37 - 
34,38,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,38 - 
